Sample no.,Site,Layer,Easting,Northing,Mass,Thickness,Density,MassArea,"[-4.5,-4)","[-4,-3.5)","[-3.5,-3)","[-3,-2.5)","[-2.5,-2)","[-2,-1.5)","[-1.5,-1)","[-1,-0.5)","[-0.5,0)","[0,0.5)","[0.5,1)","[1,1.5)","[1.5,2)","[2,2.5)","[2.5,3)","[3,3.5)"
1-27-09 M,9,M,519877,1378201,1580,0.05,1256.96,62.85,0,0,0,0,0,0.000273898,0.002738976,0.012599288,0.049027664,0.142974528,0.201862503,0.164338537,0.147630786,0.090112298,0.048479869,0.139961654
1-27-10 M,10,M,520742,1379432,1555,0.13,1237.07,160.82,0,0,0,0,0.000272851,0.00218281,0.013096862,0.048294679,0.13478854,0.245566166,0.216371078,0.118417462,0.065484311,0.043110505,0.026466576,0.085948158
1-27-11 M,11,M,520990,1380130,1508,0.13,1199.68,155.96,0,0,0,0.001366494,0.00218639,0.007379065,0.025963378,0.102760317,0.18502323,0.259907078,0.20005466,0.096474447,0.064498497,0.030062859,0.009018858,0.015304728
1-27-12 M,12,M,520892,1381127,1401,0.15,1114.56,167.18,0,0,0,0,0.001440092,0.010656682,0.036578341,0.13047235,0.202764977,0.311059908,0.167626728,0.070276498,0.029089862,0.011808756,0.006336406,0.021889401
1-27-13 M,13,M,521902,1382109,1493,0.06,1187.75,71.26,0,0,0,0.000820793,0.001641587,0.010943912,0.038303694,0.114090287,0.21751026,0.306155951,0.18002736,0.06374829,0.027906977,0.010670315,0.005745554,0.022435021
1-27-14 M,14,M,522118,1379921,1316,0.15,1046.94,157.04,0,0,0,0.000844357,0.008443569,0.027300873,0.075710667,0.1840698,0.286518435,0.278356319,0.099915564,0.022516184,0.008443569,0.003940332,0.001970166,0.001970166
1-27-15A,15,A,523973,1380489,1376,0.08,1094.67,87.57,0,0,0.001085187,0.018990776,0.035811177,0.098209441,0.230602279,0.291644059,0.191264243,0.086001085,0.023874118,0.011123169,0.005697233,0.002170374,0.001627781,0.001899078
1-27-15B,15,B,523973,1380489,1179,0.18,937.95,168.83,0,0,0.003740315,0.012022442,0.031525514,0.087630243,0.185145605,0.293080417,0.239380176,0.1242319,0.020838899,0.001870158,0.000267165,0,0.000267165,0
1-27-16B,16,B,525162,1380976,1286,0.25,1023.07,255.77,0,0,0.014544457,0.034577387,0.071624588,0.137486279,0.207189901,0.236553238,0.173161361,0.086169045,0.023326015,0.007683864,0.003841932,0.001646542,0.001097695,0.001097695
1-27-17A,17,A,525544,1381476,1174,0.13,933.97,121.42,0,0.003320254,0.021732569,0.059462723,0.126169635,0.219136734,0.208572291,0.152731663,0.087835798,0.059462723,0.031391488,0.01720495,0.006942348,0.002716571,0.001811047,0.001509206
